Job Title,Company Name,City,Province Code
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Principal Data Scientist,Accenture,Ottawa,ON
Data Scientist,Finning International Inc.,Vancouver,BC
Sr. Data Analyst,TKEES,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
Data Science and Advanced Analytics Associate,TD Bank,Toronto,ON
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
Geospatial Data Scientist,University of Alberta,Edmonton,AB
Data Scientist,Just Energy,Mississauga,ON
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
Data Scientist,Crestview Strategy,Canada,
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
"Manager, Data and Analytics COE",RBC,Toronto,ON
Data Scientist,Finning International Inc.,Vancouver,BC
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
Principal Data Scientist,Accenture,Ottawa,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Associate, Building Information Analytics",Mattamy Homes,Milton,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
Data Scientist,Just Energy,Mississauga,ON
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
Data Science and Advanced Analytics Associate,TD Bank,Toronto,ON
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
Principal Data Scientist,Accenture,Ottawa,ON
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
Data Scientist,Crestview Strategy,Canada,
Data Scientist,Finning International Inc.,Vancouver,BC
"Manager, Data and Analytics COE",RBC,Toronto,ON
Data Analyst (Temporary/Rotation),Bruce Power,Tiverton,ON
Senior Data Scientist,Accenture,Toronto,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Product Manager, Data Science",Numerator,Ottawa,ON
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
Data Scientist,Just Energy,Mississauga,ON
Data Science and Advanced Analytics Associate,TD Bank,Toronto,ON
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
Data Scientist,Crestview Strategy,Canada,
"Data Science Intern, Decision Science (Fall 2020) - Toronto",Coursera,Toronto,ON
Data Scientist,Finning International Inc.,Vancouver,BC
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
Sr. Data Analyst,TKEES,Toronto,ON
Principal Data Scientist,Accenture,Ottawa,ON
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
Data Science and Advanced Analytics Associate,TD Bank,Toronto,ON
Data Scientist,Just Energy,Mississauga,ON
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Data Scientist,Finning International Inc.,Vancouver,BC
"Product Manager, Data Science",Numerator,Ottawa,ON
Data Scientist,Crestview Strategy,Canada,
"Data Science Intern, Decision Science (Fall 2020) - Toronto",Coursera,Toronto,ON
Sr. Data Analyst,TKEES,Toronto,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
Senior Data Analyst,Symend,Calgary,AB
Principal Data Scientist,Accenture,Ottawa,ON
Sr. Data Analyst,TKEES,Toronto,ON
Senior Data Analyst,Symend,Calgary,AB
Senior Data Scientist,Accenture,Toronto,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
"Associate, Building Information Analytics",Mattamy Homes,Milton,ON
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
Senior Data Analyst,Baylis Medical,Mississauga,ON
Data Analyst,CARFAX Canada,London,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
Data Scientist,TELUS,Canada,
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
Senior Data Analyst,Symend,Calgary,AB
Sr. Data Analyst,TKEES,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Associate, Building Information Analytics",Mattamy Homes,Milton,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
Data Scientist,TELUS,Canada,
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Product Manager, Data Science",Numerator,Ottawa,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Senior Data Analyst,Symend,Calgary,AB
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
Data Scientist,TELUS,Canada,
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Product Manager, Analytics",PagerDuty,Toronto,ON
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
Sr. Data Analyst,TKEES,Toronto,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
Senior Data Analyst,Symend,Calgary,AB
"Manager, Data and Analytics COE",RBC,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Data Scientist,TELUS,Canada,
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
Data Scientist,CGI,Ottawa,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
Senior Data Analyst,Symend,Calgary,AB
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Product Manager, Analytics",PagerDuty,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data Scientist,TELUS,Canada,
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Manager, Data and Analytics COE",RBC,Toronto,ON
Senior Data Analyst,Symend,Calgary,AB
Data Scientist,TELUS,Canada,
"Product Manager, Data Science",Numerator,Ottawa,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
Data Analyst,CARFAX Canada,London,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
Senior Data Scientist,Accenture,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
Data Scientist,TELUS,Canada,
"Manager, Data and Analytics COE",RBC,Toronto,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
Data Analyst,CARFAX Canada,London,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
Senior Data Scientist,Accenture,Toronto,ON
Senior Data Analyst,Symend,Calgary,AB
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
Sr. Data Analyst,TKEES,Toronto,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
Data Scientist,CGI,Ottawa,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
Data Scientist,TELUS,Canada,
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
Data Analyst,CARFAX Canada,London,ON
AI & Analytics Risk Officer,BMO Financial Group,Toronto,ON
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,Intact,Quebec City,QC
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
"Applied Scientist, Revenue & Modelling",Prodigy Game,Oakville,ON
Senior Data Scientist,Accenture,Toronto,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Machine Learning Engineer, Content Intelligence Team (Data E...",LogMeIn,Montréal,QC
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
Data Scientist,TELUS,Canada,
Data Analyst,CARFAX Canada,London,ON
Data Scientist,CGI,Ottawa,ON
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Adoption Data Analytics & Reporting Co-op/Intern,TD Bank,West,ON
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
"Build and Tooling Engineer, Machine Learning",Resolver,Toronto,ON
Data Science & Advanced Analytics Co-op/Intern,TD Bank,Toronto,ON
"Product Manager, Data Science",Numerator,Ottawa,ON
Senior Data Analyst,Symend,Calgary,AB
Senior Data Scientist,Accenture,Toronto,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Manager, Research and Data Science",BMO Financial Group,Toronto,ON
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Manager, Data Science (Harlequin Trade Publishing)",HarperCollins Publishers,Toronto,ON
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"JPMorgan Chase Bank, N.A.",Scarborough,ON
AI & Analytics Risk Officer,BMO Financial Group,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,Intact,Quebec City,QC
Junior Data Analyst - Student Intern,The Mustard Seed,Calgary,AB
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,BC IMC,Victoria,BC
"Developer, Machine Learning Engineering Python",Bell Canada,Montréal,QC
Senior Data Analyst,Baylis Medical,Mississauga,ON
Digital and Emerging Technology Risk Officer,BMO Financial Group,Toronto,ON
"Product Manager, Analytics",PagerDuty,Toronto,ON
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
Anonymization Data Analyst,IQVIA,Ontario,
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
"Associate, Building Information Analytics",Mattamy Homes,Milton,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
Anonymization Data Analyst,IQVIA,Ontario,
Data Analyst,CARFAX Canada,London,ON
Digital and Emerging Technology Risk Officer,BMO Financial Group,Toronto,ON
"Product Manager, Analytics",PagerDuty,Toronto,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
"Staff Machine Learning Engineer, Content Intelligence Team (...",LogMeIn,Montréal,QC
Senior Data Analyst,Baylis Medical,Mississauga,ON
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
"Senior Analyst, Business Intelligence, COE",Loblaw Companies Limited,Brampton,ON
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
"Senior Machine Learning Engineer, Content Intelligence Team...",LogMeIn,Montréal,QC
"Associate, Building Information Analytics",Mattamy Homes,Milton,ON
"Senior Manager, Research & Data Science",BMO Financial Group,Toronto,ON
Data Scientist,CGI,Ottawa,ON
Senior Business Intelligence Analyst,BMW Group Financial Services Canada,Toronto,ON
Data Science – 4 Month Co-op/Internship (Winter 2021),Intact,Toronto,ON
Senior Data Analyst,Baylis Medical,Mississauga,ON
Junior Data Analyst - Student Intern,The Mustard Seed,Calgary,AB
Data Scientist,Finning International Inc.,Vancouver,BC
"Embedded Systems, Machine Learning Developer",wrnch,Montréal,QC
